file,reason,run_id,kind,n_records,span_s,end_roll_deg,end_pitch_deg,end_z,desc_dt,desc_dz,desc_rate,desc_vz_min,desc_contact_mean
20260903_022146_run2253_dog0_FALL.json,FALL,2253,LEVEL,14638,29.27,-0.25,0.79,0.025,0.946,0.176,0.186,-0.2258,0.1006
20260903_022225_run2254_dog0_FALL.json,FALL,2254,LEVEL,12953,25.9,0.42,-3.43,0.0692,0.874,0.1338,0.1531,-0.4137,0.0713
20260903_022305_run2255_dog0_FALL.json,FALL,2255,LEVEL,13795,27.59,0.0,-0.0,0.0224,0.95,0.1785,0.1879,-0.4593,0.4475
20260903_022440_run2257_dog0_FALL.json,FALL,2257,TIP,14838,29.67,43.19,10.65,0.0404,0.908,0.1606,0.1769,0.291,0.1105
20260903_022519_run2258_dog0_FALL.json,FALL,2258,TIP,13143,26.28,-37.58,5.09,0.0778,0.836,0.1225,0.1465,0.0445,0.3151
20260903_022600_run2259_dog0_FALL.json,FALL,2259,LEVEL,14245,28.49,5.32,-0.02,0.041,1.07,0.1605,0.15,-0.0785,0.1658
20260903_022642_run2260_dog0_FALL.json,FALL,2260,LEVEL,14238,28.47,0.0,-0.01,0.0291,1.154,0.1711,0.1482,-0.2527,0.3963
20260903_023103_run2265_dog0_FALL.json,FALL,2265,MIXED,19347,38.69,-19.97,-0.0,0.0108,0.802,0.191,0.2381,-0.1548,0.2211
20260903_023143_run2266_dog0_FALL.json,FALL,2266,LEVEL,14904,29.8,-0.02,-0.01,0.0367,0.934,0.1644,0.176,-0.318,0.2294
20260903_030801_run2280_dog0_FALL.json,FALL,2280,LEVEL,14570,29.14,-1.8,-0.0,0.0386,0.926,0.1631,0.1762,-0.3821,0.2319
20260903_031300_run2285_dog0_FALL.json,FALL,2285,TIP,12767,25.53,-90.98,83.55,0.0693,0.95,0.1308,0.1377,0.0336,0.2005
20260903_031337_run2286_dog0_FALL.json,FALL,2286,TIP,12968,25.93,34.83,9.26,0.0828,0.806,0.1185,0.147,0.3111,0.2242
20260903_031625_run2289_dog0_FALL.json,FALL,2289,LEVEL,13147,26.29,-0.01,1.94,0.0437,1.136,0.1563,0.1376,-0.4299,0.2624
20260903_031854_run2292_dog0_FALL.json,FALL,2292,LEVEL,12954,25.9,-6.15,3.55,0.0531,0.89,0.1472,0.1653,-0.103,0.2136
20260903_032022_run2294_dog0_FALL.json,FALL,2294,TIP,11411,22.82,25.81,8.93,0.08,0.902,0.1205,0.1336,-0.462,0.1803
20260903_032103_run2295_dog0_FALL.json,FALL,2295,LEVEL,13511,27.02,-0.0,5.84,0.0558,0.814,0.1442,0.1772,-0.0448,0.1977
20260903_032241_run2297_dog0_FALL.json,FALL,2297,TIP,14756,29.51,32.38,7.67,0.0848,0.974,0.116,0.1191,-0.413,0.1491
20260903_032620_run2301_dog0_FALL.json,FALL,2301,LEVEL,15105,30.21,-0.0,-0.0,0.0363,0.802,0.1637,0.2041,-0.1189,0.3047
20260903_032757_run2303_dog0_FALL.json,FALL,2303,LEVEL,14981,29.96,-0.46,7.53,0.0573,0.582,0.1429,0.2455,-0.9853,0.0545
